,Country_name,CO2_emissions_2016_tons,latitude,longitude
194,Turkmenistan,79279216,37.95,58.3833
195,Turks and Caicos,65451,,
196,Uganda,5009493,0.3136,32.5811
197,Ukraine,233220080,50.45,30.5233
198,United Arab Emirates,218788684,25.2631,55.2972
199,United Kingdom,367860350,51.5072,-0.1275
200,United States,5011686600,,
201,Uruguay,6508013,-34.8836,-56.1819
202,Uzbekistan,109347340,41.3111,69.2797
203,Vanuatu,137706,-17.7333,168.3167
204,Venezuela,175884256,10.6333,-71.6333
205,Vietnam,206042140,10.7756,106.7019
206,Western Sahara,207592,26.0928,-10.6089
207,Yemen,25647990,15.3483,44.2064
208,Zambia,4230584,-15.4167,28.2833
209,Zimbabwe,10062628,-17.8292,31.0522
,canada,,,
